Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,557.244995117188,NaN,548.1938,60.56635,6,164,False
2,484.578308105469,NaN,475.4889,52.3122,6,164,False
3,486.709991455078,114.684549333714,477.7182,53.12815,6,164,False
4,451.000335693359,NaN,441.8179,48.11572,7,125.5,False
5,486.593444824219,NaN,477.2322,50.97977,7,105,False
6,523.700561523438,NaN,514.5128,56,7,105,False
7,450.831726074219,NaN,441.7226,48.49225,6,164,False
8,486.710723876953,NaN,477.3271,50.86816,7,105,False
9,523.426513671875,NaN,514.2359,55.95215,7,105,False
10,440.629974365234,NaN,432.5587,53.59222,8,158,False
11,2145.38403320313,239.46961648725,2111.119,61.61206,8,281,False
12,665.168151855469,NaN,656,71.552,7,176.5,True
13,665.511657714844,NaN,656,68.9682,7,166,True
14,665.124267578125,NaN,656,71.89618,7,176.5,True
15,665.534240722656,122.676982729137,656,68.80444,7,166,True
16,665.557678222656,221.426166299544,656,68.63611,7,166,True
17,665.52099609375,NaN,656,68.90039,7,166,True
18,665.459411621094,NaN,656,69.34875,7,166,True
19,665.528137207031,172.556403185427,656,68.84863,7,166,True
20,665.490417480469,147.865813635662,656,69.12219,7,166,True
21,665.483032226563,NaN,656,69.17603,7,166,True
22,671.352294921875,NaN,627.3464,14.25598,8,281,False
23,665.434631347656,NaN,656,69.53125,7,166,True
24,665.549438476563,NaN,656,68.69507,7,166,True
25,665.623840332031,208.900743274018,656,68.16418,7,166,True
26,665.67724609375,NaN,656,67.78772,7,166,True
27,665.61083984375,NaN,656,68.25623,7,166,True
28,665.653381347656,130.084430593438,656,67.95544,7,166,True
29,665.693237304688,141.003405568964,656,67.6759,7,166,True
30,665.634643554688,NaN,656,68.08777,7,166,True
